AI_判断理由,AI出力値,１次_判断理由,２次_判断理由,１次_判断理由,２次_判断理由,１次_判断理由,２次_判断理由,登録日時,原文,原文_言語,原文_タイトル,日本語訳文,contentId
×：必要,0.2,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文1,en,(要)原文タイトル1,（要）日本語訳文1,587990
〇：必要,0.25,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文2,en,(要)原文タイトル2,（要）日本語訳文2,587991
×：必要,0.3,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文3,en,(要)原文タイトル3,（要）日本語訳文3,587992
〇：必要,0.35,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文4,en,(要)原文タイトル4,（要）日本語訳文4,587993
〇：必要,0.35,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文5,en,(要)原文タイトル5,（要）日本語訳文5,587994
〇：必要,0.35,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文6,en,(要)原文タイトル6,（要）日本語訳文6,587995
〇：必要,0.35,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文7,en,(要)原文タイトル7,（要）日本語訳文7,587996
〇：必要,0.35,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文8,en,(要)原文タイトル8,（要）日本語訳文8,587997
〇：必要,0.35,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文9,en,(要)原文タイトル9,（要）日本語訳文9,587998
〇：必要,0.4,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文10,en,(要)原文タイトル10,（要）日本語訳文10,587999
〇：必要,0.4,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文11,en,(要)原文タイトル11,（要）日本語訳文11,588000
〇：必要,0.4,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文12,en,(要)原文タイトル12,（要）日本語訳文12,588001
〇：必要,0.4,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文13,en,(要)原文タイトル13,（要）日本語訳文13,588002
〇：必要,0.45,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文14,en,(要)原文タイトル14,（要）日本語訳文14,588003
〇：必要,0.45,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文15,en,(要)原文タイトル15,（要）日本語訳文15,588004
〇：必要,0.5,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文16,en,(要)原文タイトル16,（要）日本語訳文16,588005
〇：必要,0.5,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文17,en,(要)原文タイトル17,（要）日本語訳文17,588006
〇：必要,0.5,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文18,en,(要)原文タイトル18,（要）日本語訳文18,588007
〇：必要,0.5,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文19,en,(要)原文タイトル19,（要）日本語訳文19,588008
〇：必要,0.5,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文20,en,(要)原文タイトル20,（要）日本語訳文20,588009
〇：必要,0.5,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文21,en,(要)原文タイトル21,（要）日本語訳文21,588010
〇：必要,0.55,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文22,en,(要)原文タイトル22,（要）日本語訳文22,588011
〇：必要,0.55,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文23,en,(要)原文タイトル23,（要）日本語訳文23,588012
〇：必要,0.6,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文24,en,(要)原文タイトル24,（要）日本語訳文24,588013
〇：必要,0.7,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文25,en,(要)原文タイトル25,（要）日本語訳文25,588014
〇：必要,0.75,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文26,en,(要)原文タイトル26,（要）日本語訳文26,588015
〇：必要,0.75,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文27,en,(要)原文タイトル27,（要）日本語訳文27,588016
〇：必要,0.75,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文28,en,(要)原文タイトル28,（要）日本語訳文28,588017
〇：必要,0.8,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文29,en,(要)原文タイトル29,（要）日本語訳文29,588018
〇：必要,0.8,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文30,en,(要)原文タイトル30,（要）日本語訳文30,588019
〇：必要,1,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文31,en,(要)原文タイトル31,（要）日本語訳文31,588020
〇：必要,1,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文32,en,(要)原文タイトル32,（要）日本語訳文32,588021
〇：必要,1,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文33,en,(要)原文タイトル33,（要）日本語訳文33,588022
〇：必要,1,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文34,en,(要)原文タイトル34,（要）日本語訳文34,588023
〇：必要,1,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文35,en,(要)原文タイトル35,（要）日本語訳文35,588024
〇：必要,1,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文36,en,(要)原文タイトル36,（要）日本語訳文36,588025
〇：必要,1,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文37,en,(要)原文タイトル37,（要）日本語訳文37,588026
〇：必要,1,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文38,en,(要)原文タイトル38,（要）日本語訳文38,588027
〇：必要,1,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文39,en,(要)原文タイトル39,（要）日本語訳文39,588028
〇：必要,1,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文40,en,(要)原文タイトル40,（要）日本語訳文40,588029
〇：必要,1,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文41,en,(要)原文タイトル41,（要）日本語訳文41,588030
〇：必要,1,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文42,en,(要)原文タイトル42,（要）日本語訳文42,588031
〇：必要,1,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文43,en,(要)原文タイトル43,（要）日本語訳文43,588032
〇：必要,1,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文44,en,(要)原文タイトル44,（要）日本語訳文44,588033
〇：必要,1,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文45,en,(要)原文タイトル45,（要）日本語訳文45,588034
〇：必要,1,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文46,en,(要)原文タイトル46,（要）日本語訳文46,588035
〇：必要,1,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文47,en,(要)原文タイトル47,（要）日本語訳文47,588036
〇：必要,1,×：不要,×：外,×：不要,×：外,×：不要,〇：,2023/6/1 8:42,(要)原文48,en,(要)原文タイトル48,（要）日本語訳文48,588037
〇：必要,1,×：不要,〇：,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(要)原文49,en,(要)原文タイトル49,（要）日本語訳文49,588038
〇：必要,1,×：不要,×：外,×：不要,〇：,×：不要,×：外,2023/6/1 8:42,(要)原文50,en,(要)原文タイトル50,（要）日本語訳文50,588039
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文1,(不要)原文1,(不要)原文1,(不要)原文1,588040
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文2,(不要)原文2,(不要)原文2,(不要)原文2,588041
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文3,(不要)原文3,(不要)原文3,(不要)原文3,588042
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文4,(不要)原文4,(不要)原文4,(不要)原文4,588043
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文5,(不要)原文5,(不要)原文5,(不要)原文5,588044
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文6,(不要)原文6,(不要)原文6,(不要)原文6,588045
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文7,(不要)原文7,(不要)原文7,(不要)原文7,588046
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文8,(不要)原文8,(不要)原文8,(不要)原文8,588047
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文9,(不要)原文9,(不要)原文9,(不要)原文9,588048
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文10,(不要)原文10,(不要)原文10,(不要)原文10,588049
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文11,(不要)原文11,(不要)原文11,(不要)原文11,588050
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文12,(不要)原文12,(不要)原文12,(不要)原文12,588051
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文13,(不要)原文13,(不要)原文13,(不要)原文13,588052
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文14,(不要)原文14,(不要)原文14,(不要)原文14,588053
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文15,(不要)原文15,(不要)原文15,(不要)原文15,588054
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文16,(不要)原文16,(不要)原文16,(不要)原文16,588055
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文17,(不要)原文17,(不要)原文17,(不要)原文17,588056
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文18,(不要)原文18,(不要)原文18,(不要)原文18,588057
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文19,(不要)原文19,(不要)原文19,(不要)原文19,588058
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文20,(不要)原文20,(不要)原文20,(不要)原文20,588059
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文21,(不要)原文21,(不要)原文21,(不要)原文21,588060
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文22,(不要)原文22,(不要)原文22,(不要)原文22,588061
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文23,(不要)原文23,(不要)原文23,(不要)原文23,588062
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文24,(不要)原文24,(不要)原文24,(不要)原文24,588063
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文25,(不要)原文25,(不要)原文25,(不要)原文25,588064
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文26,(不要)原文26,(不要)原文26,(不要)原文26,588065
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文27,(不要)原文27,(不要)原文27,(不要)原文27,588066
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文28,(不要)原文28,(不要)原文28,(不要)原文28,588067
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文29,(不要)原文29,(不要)原文29,(不要)原文29,588068
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文30,(不要)原文30,(不要)原文30,(不要)原文30,588069
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文31,(不要)原文31,(不要)原文31,(不要)原文31,588070
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文32,(不要)原文32,(不要)原文32,(不要)原文32,588071
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文33,(不要)原文33,(不要)原文33,(不要)原文33,588072
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文34,(不要)原文34,(不要)原文34,(不要)原文34,588073
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文35,(不要)原文35,(不要)原文35,(不要)原文35,588074
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文36,(不要)原文36,(不要)原文36,(不要)原文36,588075
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文37,(不要)原文37,(不要)原文37,(不要)原文37,588076
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文38,(不要)原文38,(不要)原文38,(不要)原文38,588077
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文39,(不要)原文39,(不要)原文39,(不要)原文39,588078
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文40,(不要)原文40,(不要)原文40,(不要)原文40,588079
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文41,(不要)原文41,(不要)原文41,(不要)原文41,588080
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文42,(不要)原文42,(不要)原文42,(不要)原文42,588081
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文43,(不要)原文43,(不要)原文43,(不要)原文43,588082
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文44,(不要)原文44,(不要)原文44,(不要)原文44,588083
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文45,(不要)原文45,(不要)原文45,(不要)原文45,588084
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文46,(不要)原文46,(不要)原文46,(不要)原文46,588085
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文47,(不要)原文47,(不要)原文47,(不要)原文47,588086
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文48,(不要)原文48,(不要)原文48,(不要)原文48,588087
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文49,(不要)原文49,(不要)原文49,(不要)原文49,588088
〇：不要,0.15,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文50,(不要)原文50,(不要)原文50,(不要)原文50,588089
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文51,(不要)原文51,(不要)原文51,(不要)原文51,588090
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文52,(不要)原文52,(不要)原文52,(不要)原文52,588091
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文53,(不要)原文53,(不要)原文53,(不要)原文53,588092
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文54,(不要)原文54,(不要)原文54,(不要)原文54,588093
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文55,(不要)原文55,(不要)原文55,(不要)原文55,588094
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文56,(不要)原文56,(不要)原文56,(不要)原文56,588095
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文57,(不要)原文57,(不要)原文57,(不要)原文57,588096
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文58,(不要)原文58,(不要)原文58,(不要)原文58,588097
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文59,(不要)原文59,(不要)原文59,(不要)原文59,588098
〇：不要,0.2,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文60,(不要)原文60,(不要)原文60,(不要)原文60,588099
〇：不要,0.25,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文61,(不要)原文61,(不要)原文61,(不要)原文61,588100
〇：不要,0.25,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文62,(不要)原文62,(不要)原文62,(不要)原文62,588101
〇：不要,0.25,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文63,(不要)原文63,(不要)原文63,(不要)原文63,588102
〇：不要,0.25,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文64,(不要)原文64,(不要)原文64,(不要)原文64,588103
〇：不要,0.25,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文65,(不要)原文65,(不要)原文65,(不要)原文65,588104
〇：不要,0.3,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文66,(不要)原文66,(不要)原文66,(不要)原文66,588105
〇：不要,0.3,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文67,(不要)原文67,(不要)原文67,(不要)原文67,588106
〇：不要,0.3,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文68,(不要)原文68,(不要)原文68,(不要)原文68,588107
〇：不要,0.35,×：不要,×：外,×：不要,×：外,×：不要,×：外,2023/6/1 8:42,(不要)原文69,(不要)原文69,(不要)原文69,(不要)原文69,588108
